game_id,quarter_seconds_remaining,yards_gained,air_yards,score_differential,incomplete_pass,interception,penalty,touchdown,complete_pass,out_of_bounds,pass_length
2025_01_ARI_NO,549.0,0.0,11.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,544.0,0.0,-6.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,541.0,0.0,12.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,479.0,4.0,2.0,10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,434.0,5.0,5.0,10.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_ARI_NO,274.0,6.0,4.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,256.0,21.0,20.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_ARI_NO,232.0,5.0,5.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,209.0,13.0,13.0,-10.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_ARI_NO,197.0,0.0,3.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,173.0,0.0,5.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,149.0,3.0,1.0,7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,109.0,0.0,11.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_ARI_NO,85.0,6.0,5.0,-7.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_ARI_NO,80.0,5.0,4.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,62.0,5.0,2.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,48.0,0.0,29.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,43.0,9.0,9.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,26.0,6.0,6.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_ARI_NO,13.0,0.0,16.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,9.0,0.0,18.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_ARI_NO,4.0,0.0,18.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,894.0,8.0,5.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,770.0,0.0,15.0,0.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,724.0,-1.0,-7.0,0.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,683.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_BAL_BUF,610.0,3.0,-1.0,-7.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,569.0,5.0,4.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,457.0,13.0,5.0,-7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,340.0,0.0,22.0,-7.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,59.0,20.0,21.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_BAL_BUF,900.0,5.0,1.0,-4.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,809.0,0.0,-3.0,-3.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,805.0,4.0,4.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,765.0,0.0,-3.0,-3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,723.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,495.0,0.0,-8.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,490.0,1.0,-5.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,451.0,17.0,17.0,-10.0,0.0,0.0,0.0,0.0,1.0,1,deep
2025_01_BAL_BUF,428.0,12.0,-2.0,-10.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,308.0,6.0,-2.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,267.0,0.0,12.0,-10.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,220.0,3.0,1.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,118.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,113.0,15.0,15.0,7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,98.0,1.0,-5.0,7.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,25.0,26.0,26.0,-10.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_BAL_BUF,7.0,22.0,22.0,-10.0,0.0,0.0,0.0,0.0,1.0,1,deep
2025_01_BAL_BUF,822.0,39.0,19.0,7.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_BAL_BUF,774.0,23.0,-1.0,7.0,0.0,0.0,0.0,1.0,1.0,0,short
2025_01_BAL_BUF,609.0,0.0,16.0,-14.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,603.0,2.0,2.0,-14.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,561.0,3.0,3.0,-14.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,390.0,0.0,37.0,8.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,374.0,0.0,-4.0,-8.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,300.0,17.0,9.0,-8.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,186.0,0.0,22.0,-8.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,180.0,0.0,32.0,-8.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,162.0,36.0,3.0,8.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,74.0,29.0,26.0,8.0,0.0,0.0,0.0,1.0,1.0,0,deep
2025_01_BAL_BUF,22.0,8.0,8.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,900.0,15.0,15.0,-15.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,876.0,4.0,4.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,851.0,0.0,27.0,-15.0,1.0,0.0,0.0,0.0,0.0,0,deep
2025_01_BAL_BUF,846.0,51.0,-3.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,765.0,0.0,15.0,9.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,760.0,0.0,-1.0,9.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,695.0,9.0,8.0,-15.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,673.0,6.0,4.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,652.0,0.0,10.0,-15.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,476.0,9.0,2.0,15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,436.0,21.0,21.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,deep
2025_01_BAL_BUF,377.0,9.0,11.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,355.0,0.0,-4.0,-15.0,1.0,0.0,0.0,0.0,0.0,0,short
2025_01_BAL_BUF,352.0,7.0,5.0,-15.0,0.0,0.0,0.0,0.0,1.0,0,short
2025_01_BAL_BUF,304.0,11.0,6.0,-15.0,0.0,0.0,0.0,0.0,1.0,1,short
2025_01_BAL_BUF,299.0,0.0,18.0,-15.0,1.0,0.0,0.0,0.0,0.0,0,deep
